Категорія,Назва,Ціна (₴),Ціна зі знижкою (₴),Знижка,Вага/Об'єм,Опис,Калорійність (100г)
Промоакції,Бургер з креветками панко,329.00,296.10,-10%,230 г,"Булочка для бургера, креветки в паніровці, помідор, огірок свіжий, бекон смажений, салат айсберг, майонез Айолі","212.2 ккал/Б6.79/Ж11/В21.43"
Промоакції,Комбо з бургером з курячими стріпсами та беконом,379.00,341.10,-10%,940 г,"Бургер з курячими стріпсами та беконом + Картопля Фрі + Coca-Cola 0.5",
Промоакції,Бургер з курячою котлетою та соусом Дор Блю,269.00,242.10,-10%,255 г,"Булочка для бургера, котлета куряча, сир Чеддер, соус ДорБлю, салат айсберг, огірок маринований","226.00 ккал/Б11.10/Ж12.00/В18"
Хіт продажів,Комбо з чізбургером з яловичою котлетою,379.00,,,925 г,"Чізбургер з яловичою котлетою + Картопля Фрі + Coca-Cola 0.5",
Хіт продажів,Дабл Чізбургер,375.00,,,430 г,"Булочка для бургера, котлета з яловичини, сир Чеддер, помідор, салат айсберг, огірок маринований, цибуля маринована, майонез Айолі, соус Барбекю з димом","241 ккал/Б12.4/Ж16.9/В8.9"
Хіт продажів,Чізбургер з яловичою котлетою,249.00,,,270 г,"Булочка для бургера, котлета з яловичини, сир Чеддер, огірок маринований, маринована цибуля, підкопчений майонез, кетчуп, масло вершкове, гірчиця американська","235.5 ккал/Б10/Ж16.40/В11"
Фестиваль азійських супів,Том ям кунг (з креветками),459.00,,,365 г,"Основа Том Ям, креветки су-від, помідор коктейльний, гриби шімеджі, цибуля синя, лайм, кінза, перець чилі","98.00 ккал/Б5.03/Ж6.82/В4.17"
Фестиваль азійських супів,Рамен з креветками,395.00,,,430 г,"Основа Рамен, локшина, креветки су-від, яйце мариноване, капуста пекінська, гриби шімеджі, олія кунжутна, соус гострий","122.00 ккал/Б7.70/Ж4.90/В11.60"
Фестиваль азійських супів,Карі лакса з креветками,385.00,,,410 г,"Основа для супу, локшина, креветки су-від, перець запечений, помідор, цибуля, лайм, кінза, нитки перцю чилі","97.00 ккал/Б4.80/Ж3.50/В11.40"
Фестиваль азійських супів,Том ям кай (з куркою),359.00,,,365 г,"Основа Том Ям, курка в клярі, помідор коктейльний, гриби шімеджі, цибуля синя, лайм, кінза, перець чилі","116.00 ккал/Б4.20/Ж7.80/В6.90"
Фестиваль азійських супів,Рамен з телятиною,359.00,,,440 г,"Основа Рамен, локшина, ростбіф яловичий, яйце мариноване, капуста пекінська, гриби шімеджі, олія кунжутна, соус гострий","136.00 ккал/Б7.30/Ж6.60/В11.30"
Фестиваль азійських супів,Карі лакса з куркою,325.00,,,420 г,"Основа для супу, локшина, курка в клярі, перець запечений, помідор, цибуля, лайм, кінза, нитки перцю чилі","113.00 ккал/Б4.16/Ж4.58/В13.59"
Фестиваль азійських супів,Рамен з куркою,299.00,,,440 г,"Основа Рамен, локшина, курка в клярі, яйце мариноване, капуста пекінська, гриби шімеджі, олія кунжутна, соус гострий","134.00 ккал/Б6.80/Ж5.70/В13.50"
Бургери,Дабл Чізбургер,375.00,,,430 г,"Булочка для бургера, котлета з яловичини, сир Чеддер, помідор, салат айсберг, огірок маринований, цибуля маринована, майонез Айолі, соус Барбекю з димом","241 ккал/Б12.4/Ж16.9/В8.9"
Бургери,Бургер з креветками панко,329.00,296.10,-10%,230 г,"Булочка для бургера, креветки в паніровці, помідор, огірок свіжий, бекон смажений, салат айсберг, майонез Айолі","212.2 ккал/Б6.79/Ж11/В21.43"
Бургери,Бургер з яловичою котлетою та перцем конфі,299.00,,,300 г,"Булочка для бургера, котлета з яловичини, сир Чеддер, помідор, бекон смажений, перець конфі, салат айсберг, огірок маринований, майонез Айолі","258 ккал/Б11.27/Ж17.71/В12.96"
Бургери,Бургер з яловичою котлетою та соусом Дор Блю,299.00,,,265 г,"Булочка для бургера, котлета з яловичини, сир Чеддер, соус ДорБлю, салат айсберг, огірок маринований","264.5 ккал/Б12.3/Ж18.1/В12.2"
Бургери,Чізбургер з яловичою котлетою та беконом,279.00,,,270 г,"Булочка для бургера, котлета з яловичини, сир Чеддер, помідор, бекон смажений, салат айсберг, майонез Айолі","272.5 ккал/Б12.37/Ж19.72/В11.14"
Бургери,Бургер з курячими стріпсами та беконом,279.00,,,290 г,"Булочка для бургера, філе курчати в паніровці, сир Чеддер, помідор, перець конфі, бекон смажений, айсберг, огірок маринований, підкопчений майонез","233 ккал/Б9.92/Ж12.91/В19.65"
Бургери,Бургер з курячою котлетою та перцем конфі,275.00,,,290 г,"Булочка для бургера, котлета куряча, сир Чеддер, помідор, бекон смажений, перець конфі, салат айсберг, огірок маринований, майонез Айолі","222.4 ккал/Б9.95/Ж12.53/В17.7"
Бургери,Бургер з курячою котлетою та соусом Дор Блю,269.00,242.10,-10%,255 г,"Булочка для бургера, котлета куряча, сир Чеддер, соус ДорБлю, салат айсберг, огірок маринований","226.00 ккал/Б11.10/Ж12.00/В18"
Бургери,Чізбургер з яловичою котлетою,249.00,,,270 г,"Булочка для бургера, котлета з яловичини, сир Чеддер, огірок маринований, маринована цибуля, підкопчений майонез, кетчуп, масло вершкове, гірчиця американська","235.5 ккал/Б10/Ж16.40/В11"
Бургери,Чізбургер з курячою котлетою та беконом,249.00,,,260 г,"Булочка для бургера, котлета куряча, сир Чеддер, помідор, бекон смажений, салат айсберг, майонез Айолі","236.6 ккал/Б11.27/Ж13.80/В16.35"
Бургери,Бургер з курячими стріпсами,249.00,,,280 г,"Булочка для бургера, філе курчати в паніровці, сир Чеддер, помідор, перець конфі, айсберг, огірок маринований, соус барбекю з димом","209.9 ккал/Б9.47/Ж9.13/В21.86"
Бургери,Бургер з яловичою котлетою,219.00,,,240 г,"Булочка для бургера, котлета з яловичини, огірок маринований, цибуля маринована, кетчунез з димом, кетчуп, гірчиця американська","230 ккал/Б9.60/Ж15.20/В11.1"
Бургери,Чізбургер з курячою котлетою,219.00,,,260 г,"Булочка для бургера, котлета куряча в паніровці, сир Чеддер, огірок маринований, маринована цибуля, підкопчений майонез, кетчуп, масло вершкове, гірчиця американська","174 ккал/Б8.56/Ж10.42/В16.64"
Бургери,Бургер з курячою котлетою,189.00,,,230 г,"Булочка для бургера, котлета куряча в паніровці, огірок маринований, маринована цибуля, підкопчений майонез, кетчуп, масло вершкове, гірчиця американська","182.7 ккал/Б7.98/Ж9.32/В17.19"
Комбо меню,Комбо з бургером з курячими стріпсами та беконом,379.00,341.10,-10%,940 г,"Бургер з курячими стріпсами та беконом + Картопля Фрі + Coca-Cola 0.5",
Комбо меню,Комбо з чізбургером з яловичою котлетою,379.00,,,925 г,"Чізбургер з яловичою котлетою + Картопля Фрі + Coca-Cola 0.5",
Комбо меню,Комбо з бургером з курячою котлетою,319.00,,,930 г,"Бургер з курячою котлетою + Картопля Фрі + Coca-Cola 0.5",
Комбо меню,Комбо з філе кріспі,309.00,,,"200г/150г/0.5л","Філе кріспі, картопля фрі, Coca-Cola",
Комбо меню,Комбо з нагетсами,265.00,,,"90/40г/150г/0.5л","Курочка в хрусткій паніровці, кетчуп, Картопля фрі, Coca-Cola",
Курочка,Філе кріспі,159.00,,,200 г,"Куряче філе, маринад, паніровка, спеції","168.3 ккал/Б13.4/Ж6.7/В11.5"
Курочка,Нагетси курячі,105.00,,,"90/40 г","Філе курчати-бройлера в паніровці, кетчуп","190.30 ккал/Б0.30/Ж10.70/В17.00"
Картопля,Картопляні діпи,99.00,,,150 г,"Картопля, сіль","232.50 ккал/Б3.75/Ж6.75/В37.50"
Картопля,Картопля фрі,89.00,,,150 г,"Картопля, сіль","232.50 ккал/Б3.75/Ж6.75/В37.50"
Картопля,Картопляні дольки,85.00,,,150 г,"Картопля, олія соняшникова, сіль","128.29 ккал/Б2.47/Ж2.96/В21.71"
Снеки,Сирні палички 6 шт,189.00,,,155 г,"Сир Моцарела в паніровці зі спеціями, джем журавлиновий","310.00 ккал/Б13.10/Ж17.50/В24.10"
Снеки,Сирні палички 4 шт,139.00,,,115 г,"Сир Моцарела в паніровці зі спеціями, джем журавлиновий","310.00 ккал/Б13.10/Ж17.50/В24.10"
Супи,Грибний крем-суп,217.00,,,250 г,"Печериці, курячий бульйон, цибуля, вершки, пармезан, часник, мікрогрін горошку, соус соєвий","164.29 ккал/Б7.16/Ж10.24/В10.62"
Супи,Бульйон курячий з яйцем,149.00,,,315 г,"Бульйон, тальятеле, куряче філе су-від, яйця курячі, петрушка","121.59 ккал/Б8.30/Ж5.29/В9.85"
Соуси,Соус Дор Блю,49.00,,,40 г,,
Соуси,Соус BBQ,39.00,,,40 г,,
Соуси,Соус Спайсі,35.00,,,40 г,,
Соуси,Соус Сирний,35.00,,,40 г,,
Соуси,Соус Айолі,35.00,,,40 г,,
Соуси,Кетчуп,25.00,,,40 г,,
Напої,Напій енергетичний Red Bull 0.25л,89.00,,,250 мл,,
Напої,Напій енергетичний Non Stop 0.5л,89.00,,,250 мл,,
Напої,Сік Jaffa томатний з сіллю 0.25л,79.00,,,250 мл,,
Напої,Сік Jaffa апельсиновий 0.25л,79.00,,,250 мл,,
Напої,Сік Jaffa яблучний 0.25л,79.00,,,250 мл,,
Напої,Напій безалкогольний Dr. Pepper Regular 0.33л,69.00,,,330 мл,,
Напої,Напій безалкогольний Dr. Pepper Cherry 0.33л,69.00,,,330 мл,,
Напої,Компот з міксу ягід,65.00,,,250 мл,"Компотна суміш, цукор",
Напої,Узвар,65.00,,,250 мл,"Сухофрукти мікс, сухофрукти яблуко, цукор",
Напої,Морс із журавлини,65.00,,,250 мл,"Журавлина, цукор",
Напої,Coca-Cola 0.5л,49.00,,,500 мл,,
Напої,Fanta 0.5л,49.00,,,500 мл,,
Напої,Sprite 0.5л,49.00,,,500 мл,,
Напої,Напій Schweppes Indian Tonic 0.33л,49.00,,,330 мл,,
Напої,Вода газована Бонаква 0.5л,45.00,,,500 мл,,
Алкогольні напої,Пиво світле 4.5% Corona Extra с/пл 0.33л,99.00,,,,, 
Алкогольні напої,Пиво світле Stella Artois з/б 0.5л,69.00,,,,,
Алкогольні напої,Пиво світле Low-Calorie безалкогольне 0.33л Stella Artois,65.00,,,330 мл,,
